class,precision,recall,f1_score
A,0.9141414141414141,0.905,0.9095477386934674
B,0.88,0.88,0.88
C,0.9705882352941176,0.99,0.9801980198019802
D,0.9849246231155779,0.98,0.9824561403508771
E,0.9949748743718593,0.99,0.9924812030075187
